Run 3421: Mean_no_cut = 0.9957, Mean_PID = 0.9961, Mean_PID_Delta = 0.9970, Sigma_cut = 0.0283, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0255
Run 6955: Mean_no_cut = 1.0005, Mean_PID = 1.0033, Mean_PID_Delta = 1.0030, Sigma_cut = 0.0294, Sigma_PID = 0.0272, Sigma_PID_Delta = 0.0253
Run 1679: Mean_no_cut = 0.9936, Mean_PID = 0.9940, Mean_PID_Delta = 0.9946, Sigma_cut = 0.0313, Sigma_PID = 0.0306, Sigma_PID_Delta = 0.0292
Run 6005: Mean_no_cut = 1.0005, Mean_PID = 1.0030, Mean_PID_Delta = 1.0030, Sigma_cut = 0.0292, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0260
Run 6735: Mean_no_cut = 0.9982, Mean_PID = 1.0014, Mean_PID_Delta = 1.0009, Sigma_cut = 0.0287, Sigma_PID = 0.0272, Sigma_PID_Delta = 0.0253
Run 4253: Mean_no_cut = 1.0001, Mean_PID = 1.0004, Mean_PID_Delta = 0.9999, Sigma_cut = 0.0284, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0262
Run 3862: Mean_no_cut = 1.0011, Mean_PID = 1.0013, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0282, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0262
Run 3407: Mean_no_cut = 0.9943, Mean_PID = 0.9957, Mean_PID_Delta = 0.9965, Sigma_cut = 0.0290, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0255
Run 5252: Mean_no_cut = 0.9993, Mean_PID = 1.0003, Mean_PID_Delta = 0.9998, Sigma_cut = 0.0288, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 1677: Mean_no_cut = 0.9937, Mean_PID = 0.9938, Mean_PID_Delta = 0.9945, Sigma_cut = 0.0309, Sigma_PID = 0.0306, Sigma_PID_Delta = 0.0293
Run 6905: Mean_no_cut = 1.0016, Mean_PID = 1.0018, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 3144: Mean_no_cut = 0.9970, Mean_PID = 0.9980, Mean_PID_Delta = 0.9984, Sigma_cut = 0.0285, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6428: Mean_no_cut = 0.9994, Mean_PID = 1.0014, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0292, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0256
Run 4056: Mean_no_cut = 1.0012, Mean_PID = 1.0014, Mean_PID_Delta = 1.0016, Sigma_cut = 0.0281, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0259
Run 1760: Mean_no_cut = 1.0006, Mean_PID = 1.0009, Mean_PID_Delta = 1.0027, Sigma_cut = 0.0318, Sigma_PID = 0.0315, Sigma_PID_Delta = 0.0300
Run 2024: Mean_no_cut = 0.9997, Mean_PID = 1.0001, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0318, Sigma_PID = 0.0313, Sigma_PID_Delta = 0.0298
Run 3025: Mean_no_cut = 0.9983, Mean_PID = 0.9987, Mean_PID_Delta = 0.9978, Sigma_cut = 0.0281, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 2341: Mean_no_cut = 1.0073, Mean_PID = 1.0077, Mean_PID_Delta = 1.0092, Sigma_cut = 0.0301, Sigma_PID = 0.0295, Sigma_PID_Delta = 0.0279
Run 3256: Mean_no_cut = 1.0002, Mean_PID = 0.9997, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0281, Sigma_PID = 0.0287, Sigma_PID_Delta = 0.0260
Run 3900: Mean_no_cut = 1.0020, Mean_PID = 1.0022, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0283, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0260
Run 4972: Mean_no_cut = 0.9999, Mean_PID = 1.0009, Mean_PID_Delta = 1.0006, Sigma_cut = 0.0297, Sigma_PID = 0.0287, Sigma_PID_Delta = 0.0272
Run 6711: Mean_no_cut = 1.0017, Mean_PID = 1.0025, Mean_PID_Delta = 1.0023, Sigma_cut = 0.0283, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
Run 6867: Mean_no_cut = 1.0015, Mean_PID = 1.0017, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0281, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0258
Run 1815: Mean_no_cut = 1.0005, Mean_PID = 1.0009, Mean_PID_Delta = 1.0030, Sigma_cut = 0.0328, Sigma_PID = 0.0323, Sigma_PID_Delta = 0.0308
Run 6009: Mean_no_cut = 1.0004, Mean_PID = 1.0031, Mean_PID_Delta = 1.0030, Sigma_cut = 0.0293, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0264
Run 5295: Mean_no_cut = 0.9998, Mean_PID = 1.0008, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0289, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0262
Run 3928: Mean_no_cut = 1.0019, Mean_PID = 1.0021, Mean_PID_Delta = 1.0022, Sigma_cut = 0.0283, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 6710: Mean_no_cut = 1.0012, Mean_PID = 1.0022, Mean_PID_Delta = 1.0019, Sigma_cut = 0.0281, Sigma_PID = 0.0270, Sigma_PID_Delta = 0.0250
Run 5904: Mean_no_cut = 0.9985, Mean_PID = 1.0014, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0291, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0260
Run 4250: Mean_no_cut = 1.0001, Mean_PID = 1.0004, Mean_PID_Delta = 1.0000, Sigma_cut = 0.0285, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0262
Run 6498: Mean_no_cut = 0.9728, Mean_PID = 1.0006, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0449, Sigma_PID = 0.0289, Sigma_PID_Delta = 0.0264
Run 4226: Mean_no_cut = 1.0004, Mean_PID = 1.0007, Mean_PID_Delta = 1.0004, Sigma_cut = 0.0284, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0263
Run 6738: Mean_no_cut = 0.9985, Mean_PID = 1.0013, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0286, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0254
Run 6906: Mean_no_cut = 1.0018, Mean_PID = 1.0019, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0280, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 5293: Mean_no_cut = 1.0001, Mean_PID = 1.0012, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0288, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0259
Run 3403: Mean_no_cut = 0.9953, Mean_PID = 0.9957, Mean_PID_Delta = 0.9965, Sigma_cut = 0.0283, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0256
Run 2767: Mean_no_cut = 0.9977, Mean_PID = 0.9979, Mean_PID_Delta = 0.9973, Sigma_cut = 0.0281, Sigma_PID = 0.0277, Sigma_PID_Delta = 0.0259
Run 2562: Mean_no_cut = 0.9995, Mean_PID = 1.0000, Mean_PID_Delta = 1.0000, Sigma_cut = 0.0294, Sigma_PID = 0.0288, Sigma_PID_Delta = 0.0273
Run 4257: Mean_no_cut = 1.0000, Mean_PID = 1.0002, Mean_PID_Delta = 0.9998, Sigma_cut = 0.0283, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0261
Run 4024: Mean_no_cut = 1.0022, Mean_PID = 1.0029, Mean_PID_Delta = 1.0028, Sigma_cut = 0.0288, Sigma_PID = 0.0279, Sigma_PID_Delta = 0.0260
Run 3738: Mean_no_cut = 0.9990, Mean_PID = 0.9996, Mean_PID_Delta = 0.9994, Sigma_cut = 0.0283, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 3866: Mean_no_cut = 1.0008, Mean_PID = 1.0010, Mean_PID_Delta = 1.0011, Sigma_cut = 0.0282, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 1812: Mean_no_cut = 1.0004, Mean_PID = 1.0012, Mean_PID_Delta = 1.0034, Sigma_cut = 0.0334, Sigma_PID = 0.0324, Sigma_PID_Delta = 0.0309
Run 3137: Mean_no_cut = 0.9978, Mean_PID = 0.9982, Mean_PID_Delta = 0.9985, Sigma_cut = 0.0279, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0254
Run 6928: Mean_no_cut = 1.0016, Mean_PID = 1.0018, Mean_PID_Delta = 1.0014, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 5977: Mean_no_cut = 0.9703, Mean_PID = 1.0015, Mean_PID_Delta = 1.0017, Sigma_cut = 0.0576, Sigma_PID = 0.0295, Sigma_PID_Delta = 0.0280
Run 6715: Mean_no_cut = 1.0019, Mean_PID = 1.0025, Mean_PID_Delta = 1.0023, Sigma_cut = 0.0280, Sigma_PID = 0.0273, Sigma_PID_Delta = 0.0254
