Run 3098: Mean_no_cut = 0.9969, Mean_PID = 0.9988, Mean_PID_Delta = 0.9988, Sigma_cut = 0.0286, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0255
Run 1950: Mean_no_cut = 0.9998, Mean_PID = 1.0002, Mean_PID_Delta = 1.0018, Sigma_cut = 0.0320, Sigma_PID = 0.0315, Sigma_PID_Delta = 0.0299
Run 6922: Mean_no_cut = 1.0017, Mean_PID = 1.0020, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0256
Run 6887: Mean_no_cut = 1.0012, Mean_PID = 1.0015, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0281, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 6904: Mean_no_cut = 1.0012, Mean_PID = 1.0013, Mean_PID_Delta = 1.0011, Sigma_cut = 0.0279, Sigma_PID = 0.0276, Sigma_PID_Delta = 0.0259
Run 4224: Mean_no_cut = 1.0006, Mean_PID = 1.0009, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0285, Sigma_PID = 0.0280, Sigma_PID_Delta = 0.0263
Run 6812: Mean_no_cut = 1.0001, Mean_PID = 1.0021, Mean_PID_Delta = 1.0015, Sigma_cut = 0.0286, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0256
Run 6187: Mean_no_cut = 1.0005, Mean_PID = 1.0009, Mean_PID_Delta = 1.0007, Sigma_cut = 0.0284, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0262
Run 6889: Mean_no_cut = 0.0000, Mean_PID = 0.0000, Mean_PID_Delta = 0.0000, Sigma_cut = 0.0000, Sigma_PID = 0.0000, Sigma_PID_Delta = 0.0000
Run 1900: Mean_no_cut = 1.0008, Mean_PID = 1.0016, Mean_PID_Delta = 1.0039, Sigma_cut = 0.0332, Sigma_PID = 0.0323, Sigma_PID_Delta = 0.0309
Run 6318: Mean_no_cut = 1.0009, Mean_PID = 1.0012, Mean_PID_Delta = 1.0012, Sigma_cut = 0.0290, Sigma_PID = 0.0284, Sigma_PID_Delta = 0.0269
Run 5252: Mean_no_cut = 0.9993, Mean_PID = 1.0003, Mean_PID_Delta = 0.9998, Sigma_cut = 0.0288, Sigma_PID = 0.0278, Sigma_PID_Delta = 0.0261
Run 6428: Mean_no_cut = 0.9994, Mean_PID = 1.0014, Mean_PID_Delta = 1.0008, Sigma_cut = 0.0292, Sigma_PID = 0.0274, Sigma_PID_Delta = 0.0256
Run 6905: Mean_no_cut = 1.0016, Mean_PID = 1.0018, Mean_PID_Delta = 1.0013, Sigma_cut = 0.0280, Sigma_PID = 0.0275, Sigma_PID_Delta = 0.0257
Run 2340: Mean_no_cut = 1.0072, Mean_PID = 1.0076, Mean_PID_Delta = 1.0091, Sigma_cut = 0.0299, Sigma_PID = 0.0294, Sigma_PID_Delta = 0.0277
