day  , run , elastic_label          , Ibeam (uA), HMS mom, HMS angle, SHMS angle, calo angle, calo distance, target     , Beam pass, Collimator, prescale, event #, duration (min), Charge Accumulated, coin status, comments                                                                                                                                                                                 , source sheet     , source row
05/13, 6832, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  184798,          30.75,              33.23,            , "25psi, 52Hz"                                                                                                                                                                            , Special runs     ,        117
05/13, 6833, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  180565,          30.94,              32.04,            , "25psi, 52Hz"                                                                                                                                                                            , Special runs     ,        118
05/13, 6834, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  246946,          40.85,              45.13,            , "25psi, 48Hz"                                                                                                                                                                            , Special runs     ,        119
05/13, 6835, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  172759,          29.92,              30.95,            , "25psi, 48Hz"                                                                                                                                                                            , Special runs     ,        120
05/13, 6836, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  210810,          33.27,              40.14,            , "25psi, 48Hz"                                                                                                                                                                            , Special runs     ,        121
05/13, 6837, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,   31967,           4.49,               5.51,            , "40psi, 42Hz"                                                                                                                                                                            , Special runs     ,        122
05/13, 6838, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  237590,          37.63,              38.9 ,            , "40psi, 42Hz"                                                                                                                                                                            , Special runs     ,        123
05/13, 6839, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  199617,          29.91,              33.94,            , "40psi, 42Hz"                                                                                                                                                                            , Special runs     ,        124
05/13, 6840, HMS Elastic Production ,         20, -4.042 ,    24.86 ,     37.5  ,     21.2  , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  200551,          29.62,              34.09,            , "40psi, 42Hz"                                                                                                                                                                            , Special runs     ,        125
05/13, 6841, HMS Elastic Production ,         20, -2.638 ,    37.714,     36.83 ,     20.53 , 3.5m         , LH2        ,         3, Large     , ps4=0   ,  174513,          63.02,              66.84,            , "40psi, 42Hz; CODA config: coin"                                                                                                                                                         , Special runs     ,        126
