Run Number | Residual Index | Sigma Calibrated
2990 | 6 | 0.0180
2990 | 7 | 0.0179
2990 | 8 | 0.0185
2990 | 9 | 0.0186
2990 | 10 | 0.0178
2990 | 11 | 0.0187
4845 | 0 | 0.0311
4845 | 1 | 0.0304
4845 | 2 | 0.0346
4845 | 3 | 0.0325
4845 | 4 | 0.0288
4845 | 5 | 0.0300
4845 | 6 | 0.0276
4845 | 7 | 0.0273
4845 | 8 | 0.0267
4845 | 9 | 0.0272
4845 | 10 | 0.0272
4845 | 11 | 0.0287
3010 | 0 | 0.0199
3010 | 1 | 0.0198
3010 | 2 | 0.0217
3010 | 3 | 0.0205
3010 | 4 | 0.0183
3010 | 5 | 0.0187
3010 | 6 | 0.0174
3010 | 7 | 0.0173
3010 | 8 | 0.0180
3010 | 9 | 0.0182
3010 | 10 | 0.0175
3010 | 11 | 0.0183
