Run Number,Residual Index,Sigma Calibrated
5428,6,0.021321527731654702
5428,7,0.02135935610504512
5428,8,0.021009619493209473
5428,9,0.021297890691260375
5428,10,0.02104863679385967
5428,11,0.02199432255899061
1593,0,0.018836371537471978
1593,1,0.018451487765228102
1593,2,0.020293865970650308
1593,3,0.019049857817963117
1593,4,0.017079187451408344
1593,5,0.017668729919030915
1593,6,0.01727833007430788
1593,7,0.017240555266314586
1593,8,0.018192211733201107
1593,9,0.01791816087422446
1593,10,0.016393988270858695
1593,11,0.017481685334966038
3942,0,0.024035651518876246
3942,1,0.023716874094798154
3942,2,0.027973231319253306
3942,3,0.02603145025882195
3942,4,0.022479931171396718
3942,5,0.023340948322608288
3942,6,0.02193749259216581
3942,7,0.021943857511247947
3942,8,0.02181713698010759
3942,9,0.021985748972541835
3942,10,0.021517753356438962
3942,11,0.022480088530848444
6861,0,0.023593689184250588
6861,1,0.023246631887346655
6861,2,0.02688094590834328
6861,3,0.025005608600090493
6861,4,0.021883486920973815
6861,5,0.022761195101554724
6861,6,0.021086204457307193
6861,7,0.021167724822692493
6861,8,0.02081579298955458
6861,9,0.021148104714659315
6861,10,0.021136797094573
6861,11,0.02203831191664529
1692,0,0.018791292253696835
1692,1,0.018607331140806534
1692,2,0.020441535098918974
1692,3,0.0193084254676326
1692,4,0.017273165681798718
1692,5,0.017711394921292162
1692,6,0.017142503380413166
1692,7,0.017158207887418606
1692,8,0.01831695150675
1692,9,0.018105709903230908
1692,10,0.016489707098144703
1692,11,0.017537645793806723
6991,0,0.022320423476930345
6991,1,0.021899793016454446
6991,2,0.0270185775335663
6991,3,0.024637916231201692
6991,4,0.020915780735945473
6991,5,0.021702756086407222
6991,6,0.02053410693172471
6991,7,0.0206761568141673
6991,8,0.020311429312526965
6991,9,0.02041815131888129
6991,10,0.020196721127604404
6991,11,0.021017364800032155
5286,0,0.025303377792731313
5286,1,0.024948875730481088
5286,2,0.028652089003395977
5286,3,0.02675810132824125
5286,4,0.023640107244452337
5286,5,0.024784002963684635
5286,6,0.022333306774511653
5286,7,0.02232279182156627
5286,8,0.022026574337105427
5286,9,0.022378584348590552
5286,10,0.02209573013745694
5286,11,0.023089401148350407
4015,0,0.025032473444467695
4015,1,0.024622186708690836
4015,2,0.028396807406113195
4015,3,0.02648847279334569
4015,4,0.023171532474320546
4015,5,0.02396816063227652
4015,6,0.022255627584560338
4015,7,0.022341077811786743
4015,8,0.022260523891108493
4015,9,0.022569876855396354
4015,10,0.022085054230461417
4015,11,0.023040094516177386
5992,0,0.025946653647385878
5992,1,0.025575592637283335
5992,2,0.029043147892826488
5992,3,0.027041156868544858
5992,4,0.02385581003591305
5992,5,0.024981305235462742
5992,6,0.023266070286878878
5992,7,0.023197987046327844
5992,8,0.02261447756351724
5992,9,0.02314760302550794
5992,10,0.023406755660228575
5992,11,0.024587808126821785
5244,0,0.02505442789683879
5244,1,0.024696930129627453
5244,2,0.028351301247902392
5244,3,0.02648337460300275
5244,4,0.02323673473864453
5244,5,0.024432921922409985
5244,6,0.022227399273650243
5244,7,0.02222497868749752
5244,8,0.02170646105553199
5244,9,0.022088619148652653
5244,10,0.021896960984842073
5244,11,0.022844676192541154
3098,0,0.022389046882391978
3098,1,0.022164272234819187
3098,2,0.024879912033927403
3098,3,0.023148978394459632
3098,4,0.020536616641693626
3098,5,0.021077382191613366
3098,6,0.019371543126260465
3098,7,0.019363915932786042
3098,8,0.01968767205051702
3098,9,0.01983631987118003
3098,10,0.019223549972745717
3098,11,0.020372870150488043
3804,0,0.027063368548641557
3804,1,0.02646276410367417
3804,2,0.0324168080040695
3804,3,0.029438675646806026
3804,4,0.024909540104211186
3804,5,0.02578694368068392
3804,6,0.02430644393340525
3804,7,0.024346530860347444
3804,8,0.024191956044778272
3804,9,0.02436551038761089
3804,10,0.023874020806148234
3804,11,0.025126378507432812
6873,0,0.021976330981766372
6873,1,0.02159276279029426
6873,2,0.02596580290095566
6873,3,0.023734797941678876
6873,4,0.020290943364210716
6873,5,0.021076267520930846
6873,6,0.019745659459184123
6873,7,0.01977148373741662
6873,8,0.019576316255090945
6873,9,0.019774780017193065
6873,10,0.0196667400023672
6873,11,0.02053772790650206
