Run Number,Residual Index,Sigma Calibrated
5184,7,0.028828050871009217
5184,8,0.026489235726775993
5184,9,0.027667937907970883
5184,10,0.031060416606109736
5184,11,0.031739880858955245
2634,0,0.2587593690943422
2634,1,0.2587593690943422
2634,2,0.2587593960222469
2634,3,0.2587593690943422
2634,4,0.2587593690943422
2634,5,0.2587593690943422
2634,6,0.25685717513714257
2634,7,0.25115866263446723
2634,8,0.24975481106957984
2634,9,0.26014525895902707
2634,10,0.258759440313116
2634,11,0.25875942925286716
1495,0,0.029167800697278326
1495,1,0.027475140415836208
1495,2,0.03394782671445673
1495,3,0.03199974323051812
1495,4,0.027205510573334105
1495,5,0.028880786316720804
1495,6,0.028327962295354375
1495,7,0.02725708336788887
1495,8,0.02565841695179107
1495,9,0.026547909850373065
1495,10,0.02721159690115
1495,11,0.029236273515570912
5217,0,0.03169344239661839
5217,1,0.03060305920767593
5217,2,0.04230311439064016
5217,3,0.037960220253420225
5217,4,0.031164835611018658
5217,5,0.03291886052514436
5217,6,0.03083367095596747
5217,7,0.030716526196886404
5217,8,0.02858665318147309
5217,9,0.029369050129648834
5217,10,0.03300809309786573
5217,11,0.03387901199392294
5185,0,0.030007059428595453
5185,1,0.02880828748971609
5185,2,0.03808311933350389
5185,3,0.034721631529152
5185,4,0.029228611793897175
5185,5,0.030378620741308517
5185,6,0.02967860050922905
5185,7,0.028609426796342416
5185,8,0.02654303478264014
5185,9,0.027173633951905415
5185,10,0.030476468959225622
5185,11,0.03037748633257137
5244,0,0.0
5244,1,0.0
5244,2,0.0
5244,3,0.0
5244,4,0.0
5244,5,0.0
5244,6,0.0
5244,7,0.0
5244,8,0.0
5244,9,0.0
5244,10,0.0
5244,11,0.0
3162,0,0.25875942925286716
3162,1,0.25875941132295255
3162,2,0.23860665019952534
3162,3,0.2587593690943422
3162,4,0.25875942925286716
3162,5,0.25875941132295255
3162,6,0.2587593960222469
3162,7,0.24975481106957992
3162,8,0.25875941132295255
3162,9,0.2587594216763802
3162,10,0.2587593690943422
3162,11,0.25115866263446723
6324,0,0.2587593690943422
6324,1,0.2587594488770885
6324,2,0.2587593960222469
6324,3,0.25875944480497265
6324,4,0.2587594488770885
6324,5,0.2587593690943422
6324,6,0.25115866263447223
6324,7,0.25115866263446723
6324,8,0.25875941132295255
6324,9,0.25875941132295255
6324,10,0.2587593960222469
6324,11,0.25875941132295255
6427,0,0.2587594216763802
6427,1,0.2587594448048623
6427,2,0.2587593960222469
6427,3,0.24975481106957992
6427,4,0.24975481106957992
6427,5,0.2587594216763011
6427,6,0.25875942925285883
6427,7,0.24975481106957992
6427,8,0.2587594216763011
6427,9,0.24975481106957984
6427,10,0.2483780484284299
6427,11,0.2238332180810406
5170,0,0.024723671095520258
5170,1,0.0246088585473241
5170,2,0.02655100846711894
5170,3,0.024814005394637777
5170,4,0.022390434765920605
5170,5,0.023284091143341526
5170,6,0.02164680729192362
5170,7,0.02206975204427658
5170,8,0.02237688716714472
5170,9,0.022406986933177015
5170,10,0.021361660851863567
5170,11,0.02238997691977196
2191,0,0.2587594216763802
2191,1,0.2587593690943422
2191,2,0.25115866263446723
2191,3,0.2587593690943422
2191,4,0.24975481106957992
2191,5,0.24975481106957992
2191,6,0.25115866263447223
2191,7,0.24975481106957992
2191,8,0.2587593960222469
2191,9,0.25875941132295255
2191,10,0.2587593690943422
2191,11,0.24975481106957984
6481,0,0.24975481106957992
6481,1,0.2587594216763011
6481,2,0.25875941132295255
6481,3,0.25115866263447223
6481,4,0.2587593960222469
6481,5,0.25115866263447223
6481,6,0.24975481106957984
6481,7,0.2587593690943422
6481,8,0.24975481106957984
6481,9,0.25115866263446723
